clade,species,complete_genomes,synced,genoforms,inversions
Actinobacteria,Cutibacterium_acnes,29,28,3,3
Firmicutes,Streptococcus_dysgalactiae,27,27,8,54
Gamma,Aeromonas_veronii,27,27,22,2017
Alpha,Brucella_suis,27,27,4,13
Firmicutes,Lactobacillus_delbrueckii,26,27,4,12
Firmicutes,Lactobacillus_helveticus,25,27,5,16
Bacteroidetes,Porphyromonas_gingivalis,27,27,21,1234
Gamma,Stutzerimonas_stutzeri,27,26,16,819
Chloroflexi,Dehalococcoides_mccartyi,25,26,2,1
Gamma,Acinetobacter_seifertii,25,25,2,3
Gamma,Enterobacter_asburiae,25,25,7,47
Firmicutes,Pediococcus_acidilactici,25,25,2,1
Actinobacteria,Propionibacterium_freudenreichii,27,25,9,159
Spirochaetes,Borrelia_miyamotoi,25,25,NA,NA
Tenericutes,Mycoplasma_capricolum,24,24,NA,NA
Gamma,Yersinia_pseudotuberculosis,24,24,8,96
Bacteroidetes,Bacteroides_fragilis,24,24,5,39
Firmicutes,Leuconostoc_mesenteroides,24,24,2,1
Firmicutes,Staphylococcus_lugdunensis,23,23,2,1
Beta,Bordetella_bronchiseptica,23,23,5,23
Gamma,Acinetobacter_indicus,22,23,4,16
Epsilon,Campylobacter_fetus,23,23,4,18
Gamma,Vibrio_vulnificus,24,23,4,8
Beta,Burkholderia_thailandensis,23,23,5,19
Chlamydiae,Chlamydia_muridarum,23,23,NA,NA
Gamma,Francisella_orientalis,23,23,2,3
Firmicutes,Pediococcus_pentosaceus,23,23,2,1
Deinococcus-Thermus,Thermus_thermophilus,23,23,4,16
Gamma,Glaesserella_parasuis,23,23,19,1234
Gamma,Escherichia_albertii,22,22,4,22
Gamma,Xanthomonas_arboricola,22,22,14,424
Beta,Burkholderia_cenocepacia,25,22,6,37
Chlamydiae,Chlamydia_psittaci,22,22,2,2
Gamma,Yersinia_enterocolitica,22,22,15,564
Alpha,Brucella_abortus,22,22,2,1
